,code,name,mbrg,nprg,nav,targ,epsg,seg
3223,000950,*ST建峰,-13.6306,-6058.5178,-14.8871,4.2932,-6100.0,-14.9601
3224,600721,百花村,-6.1639,-6170.3781,-26.2421,-6.149,-7928.8288,-24.2717
3225,600581,八一钢铁,-11.0345,-6195.3897,-56.102,-5.6573,-6725.0,-56.102
3226,600652,游久游戏,-9.8273,-6247.8771,55.3799,38.9741,-2400.0,107.0446
3227,600866,星湖科技,-3.4684,-8082.9024,0.1875,-13.3734,-1864.6739,0.1878
3228,000962,东方钽业,-14.6457,-9128.3098,-14.3361,-13.3087,-9646.25,-14.3516
3229,600301,ST南化,-5.1788,-13753.5201,,-35.0815,-606.8014,-938.5633
3230,601918,新集能源,-15.9962,-15220.5911,-20.0746,7.315,-12766.6667,-22.7486
3231,600110,诺德股份,-4.086,-19578.3548,-12.9042,7.6182,-4847.9167,-12.2394
3232,000968,蓝焰控股,-17.3601,-27592.9368,-19.0306,31.7911,-2288.2486,-33.6749
3233,000913,钱江摩托,-26.881,-100587.6123,-7.9915,-11.5675,-1533.3333,-7.4111
3234,600725,ST云维,-21.8379,-124256.0119,-66.4557,-6.9185,-2933.3333,-76.8883
3235,000799,酒鬼酒,-43.2567,,-5.8001,-3.2319,165.7219,-5.5207
3236,000815,美利云,12.4421,,-137.9314,-39.0895,173.3333,-137.9314
3237,300688,创业黑马,123.7206,,30.1814,73.7513,-566.6667,25.5158
3238,002211,宏达新材,-3.6379,,1.5882,-27.1926,-101.4778,1.4416
3239,600026,中远海能,8.267,,1.9623,11.7397,-113.5239,2.8342
3240,000005,世纪星源,1.3739,,7.2841,14.9758,-201.9438,7.2841
3241,002231,奥维通信,28.6074,,0.702,3.8416,-116.2463,1.2618
3242,000878,云南铜业,24.5591,,1.7332,-6.4651,-104.717,2.1609
3243,300023,宝德股份,102.9368,,7.7665,29.5268,-238.4365,4.8204
3244,600871,石化油服,434.4806,,163.4562,664.8263,-133.0579,163.47
3245,000048,康达尔,36.9964,,25.0069,49.0298,-1355.4113,28.4535
3246,002264,新华都,-4.895,,2.9833,-2.8027,-115.9091,3.5376
3247,600091,ST明科,-16.4083,,-35.9948,-7.0823,45.4545,-35.9948
3248,000066,中国长城,-2.6418,,-2.1083,1.2482,100.0,-4.9214
3249,002272,川润股份,3.7132,,0.8764,-4.5038,-136.2464,0.8764
3250,002280,联络互动,49.4399,,98.3722,92.9372,-412.8205,98.3722
3251,000928,中钢国际,670.1647,,548.3296,406.8278,-124.2907,534.9452
3252,002633,申科股份,7.1564,,-7.4153,3.9447,31.5789,-4.5721
3253,600117,西宁特钢,4.0108,,-2.4107,30.3704,-160.0,-4.242
3254,600966,博汇纸业,22.1486,,31.2176,-15.4176,-122.0442,34.1218
3255,000959,首钢股份,159.2947,,220.5671,290.2384,-115.285,231.0104
3256,600139,西部资源,9.3359,,53.6684,173.0951,-128.4038,0.949
3257,300092,科新机电,37.7004,,1.0951,-1.9445,-137.5,1.895
3258,600146,商赢环球,-47.2634,,-3.6666,-10.9104,-114.3478,5.1496
3259,002316,键桥通讯,-17.8929,,1.9155,0.3967,-135.7143,1.2809
3260,000972,*ST中基,-56.3564,,,-27.1462,-103.0795,1706.3665
3261,601005,*ST重钢,-30.281,,0.5719,-1.8598,-100.9585,0.5708
3262,000518,四环生物,15.5623,,-1.257,-0.5472,-108.4425,0.8824
3263,600178,东安动力,-13.1233,,1.9763,-1.0971,-105.8228,1.9763
3264,600598,北大荒,-45.5818,,12.9612,-40.5951,-314.2857,16.2138
3265,002015,霞客环保,-44.4052,,-263.9636,-82.0816,196.4997,-266.8696
3266,300136,信维通信,129.282,,7.2472,31.1714,-147.5437,7.2472
3267,002027,分众传媒,-72.0233,,1.3484,-13.601,-104.878,1.3484
3268,300156,神雾环保,15.0297,,3.7635,-10.8903,-120.7547,3.3366
3269,002039,黔源电力,111.0364,,15.289,8.3837,-297.9453,18.4004
3270,600228,*ST昌九,0.8511,,,-7.3752,-117.284,-170.0157
3271,000590,启迪古汉,-20.6557,,-31.6887,6.2,-47.8408,-31.6887
3272,000595,*ST宝实,36.9751,,5.9782,-0.9116,-115.6863,5.9782
3273,000605,渤海股份,919.2551,,215.3539,402.5929,-284.0491,182.4046
3274,000613,*ST东海A,-14.6176,,3.0563,0.1054,-215.0,3.0563
3275,002071,长城影视,21.6524,,116.0938,37.125,1333.3333,170.8093
3276,600681,百川能源,-23.4742,,12.4962,10.6692,-150.0,11.384
