,code,name,date,weight
129,601010,文峰股份,2017-06-01,0.15
130,002190,成飞集成,2017-06-01,0.12
131,002482,广田集团,2017-06-01,0.13
132,000878,云南铜业,2017-06-01,0.26
133,300291,华录百纳,2017-06-01,0.18
134,600216,浙江医药,2017-06-01,0.15
135,601016,节能风电,2017-06-01,0.09
136,300113,顺网科技,2017-06-01,0.29
137,600291,西水股份,2017-06-01,0.16
138,000616,海航投资,2017-06-01,0.14
139,000652,泰达股份,2017-06-01,0.15
140,600536,中国软件,2017-06-01,0.15
141,000777,中核科技,2017-06-01,0.17
142,000969,安泰科技,2017-06-01,0.11
143,600158,中体产业,2017-06-01,0.26
144,002250,联化科技,2017-06-01,0.21
145,600618,氯碱化工,2017-06-01,0.06
146,002354,天神娱乐,2017-06-01,0.14
147,600307,酒钢宏兴,2017-06-01,0.23
148,601908,京运通,2017-06-01,0.08
149,600862,中航高科,2017-06-01,0.11
150,600183,生益科技,2017-06-01,0.22
151,600108,亚盛集团,2017-06-01,0.18
152,600251,冠农股份,2017-06-01,0.09
153,600058,五矿发展,2017-06-01,0.14
154,000417,合肥百货,2017-06-01,0.12
155,002025,航天电器,2017-06-01,0.18
156,000961,中南建设,2017-06-01,0.2
157,002123,梦网集团,2017-06-01,0.14
158,600586,金晶科技,2017-06-01,0.12
159,002268,卫 士 通,2017-06-01,0.2
160,000681,视觉中国,2017-06-01,0.12
161,300010,立思辰,2017-06-01,0.15
162,300273,和佳股份,2017-06-01,0.19
163,000401,冀东水泥,2017-06-01,0.3
164,601168,西部矿业,2017-06-01,0.35
165,600433,冠豪高新,2017-06-01,0.11
166,002276,万马股份,2017-06-01,0.14
167,600835,上海机电,2017-06-01,0.18
168,000158,常山股份,2017-06-01,0.21
169,000012,南 玻Ａ,2017-06-01,0.22
170,002477,雏鹰农牧,2017-06-01,0.19
171,603806,福斯特,2017-06-01,0.07
172,002281,光迅科技,2017-06-01,0.18
173,002221,东华能源,2017-06-01,0.25
174,601777,力帆股份,2017-06-01,0.14
175,600458,时代新材,2017-06-01,0.12
176,002013,中航机电,2017-06-01,0.28
177,600143,金发科技,2017-06-01,0.25
178,600260,凯乐科技,2017-06-01,0.28
179,600022,山东钢铁,2017-06-01,0.24
180,000090,天健集团,2017-06-01,0.18
181,002479,富春环保,2017-06-01,0.15
182,002491,通鼎互联,2017-06-01,0.26
183,000937,冀中能源,2017-06-01,0.17
184,600088,中视传媒,2017-06-01,0.06
185,300055,万邦达,2017-06-01,0.3
186,002400,省广股份,2017-06-01,0.25
187,002657,中科金财,2017-06-01,0.15
188,600831,广电网络,2017-06-01,0.09
189,000049,德赛电池,2017-06-01,0.18
190,600770,综艺股份,2017-06-01,0.15
191,600397,安源煤业,2017-06-01,0.07
192,601001,大同煤业,2017-06-01,0.12
193,002437,誉衡药业,2017-06-01,0.16
194,000488,晨鸣纸业,2017-06-01,0.29
195,600869,智慧能源,2017-06-01,0.12
196,600220,江苏阳光,2017-06-01,0.13
197,000089,深圳机场,2017-06-01,0.26
198,600894,广日股份,2017-06-01,0.14
199,002399,海普瑞,2017-06-01,0.21
200,300287,飞利信,2017-06-01,0.18
201,603005,晶方科技,2017-06-01,0.09
202,600292,远达环保,2017-06-01,0.12
203,002064,华峰氨纶,2017-06-01,0.13
204,002375,亚厦股份,2017-06-01,0.19
205,000636,风华高科,2017-06-01,0.13
206,002663,普邦股份,2017-06-01,0.14
207,002581,未名医药,2017-06-01,0.16
208,002498,汉缆股份,2017-06-01,0.13
209,600765,中航重机,2017-06-01,0.16
210,601311,骆驼股份,2017-06-01,0.16
211,002011,盾安环境,2017-06-01,0.2
212,600970,中材国际,2017-06-01,0.26
213,600435,北方导航,2017-06-01,0.27
214,000600,建投能源,2017-06-01,0.24
215,600169,太原重工,2017-06-01,0.17
216,600776,东方通信,2017-06-01,0.09
217,002030,达安基因,2017-06-01,0.27
218,002353,杰瑞股份,2017-06-01,0.21
219,600850,华东电脑,2017-06-01,0.12
220,002672,东江环保,2017-06-01,0.23
