,code,name,date,weight
234,600535,天士力,2016-08-01,0.3
235,000046,泛海控股,2016-08-01,0.18
236,600642,申能股份,2016-08-01,0.16
237,000895,双汇发展,2016-08-01,0.28
238,601766,中国中车,2016-08-01,0.95
239,300124,汇川技术,2016-08-01,0.2
240,600718,东软集团,2016-08-01,0.2
241,000839,中信国安,2016-08-01,0.27
242,000793,华闻传媒,2016-08-01,0.23
243,601818,光大银行,2016-08-01,0.72
244,002424,贵州百灵,2016-08-01,0.09
245,000825,太钢不锈,2016-08-01,0.09
246,300168,万达信息,2016-08-01,0.19
247,000009,中国宝安,2016-08-01,0.25
248,601607,上海医药,2016-08-01,0.27
249,601898,中煤能源,2016-08-01,0.12
250,601899,紫金矿业,2016-08-01,0.39
251,600068,葛洲坝,2016-08-01,0.22
252,002294,信立泰,2016-08-01,0.1
253,600015,华夏银行,2016-08-01,0.62
254,002027,分众传媒,2016-08-01,0.11
255,002236,大华股份,2016-08-01,0.25
256,600066,宇通客车,2016-08-01,0.35
257,600340,华夏幸福,2016-08-01,0.26
258,000728,国元证券,2016-08-01,0.25
259,600104,上汽集团,2016-08-01,0.89
260,600060,海信电器,2016-08-01,0.16
261,300015,爱尔眼科,2016-08-01,0.17
262,601628,中国人寿,2016-08-01,0.4
263,600031,三一重工,2016-08-01,0.23
264,601633,长城汽车,2016-08-01,0.15
265,002456,欧菲光,2016-08-01,0.26
266,600028,中国石化,2016-08-01,0.59
267,600021,上海电力,2016-08-01,0.11
268,601998,中信银行,2016-08-01,0.21
269,601117,中国化学,2016-08-01,0.13
270,600688,上海石化,2016-08-01,0.15
271,601118,海南橡胶,2016-08-01,0.08
272,600022,山东钢铁,2016-08-01,0.05
273,600827,百联股份,2016-08-01,0.11
274,601328,交通银行,2016-08-01,1.81
275,000898,鞍钢股份,2016-08-01,0.09
276,000425,徐工机械,2016-08-01,0.15
277,600600,青岛啤酒,2016-08-01,0.09
278,600816,安信信托,2016-08-01,0.19
279,002241,歌尔股份,2016-08-01,0.27
280,000423,东阿阿胶,2016-08-01,0.35
281,002146,荣盛发展,2016-08-01,0.11
282,600873,梅花生物,2016-08-01,0.14
283,000729,燕京啤酒,2016-08-01,0.12
284,601225,陕西煤业,2016-08-01,0.13
285,000039,中集集团,2016-08-01,0.12
286,000338,潍柴动力,2016-08-01,0.24
287,601992,金隅股份,2016-08-01,0.12
288,000778,新兴铸管,2016-08-01,0.12
289,000333,美的集团,2016-08-01,1.03
290,002415,海康威视,2016-08-01,0.53
291,000630,铜陵有色,2016-08-01,0.2
292,600188,兖州煤业,2016-08-01,0.05
293,601958,金钼股份,2016-08-01,0.09
294,601600,中国铝业,2016-08-01,0.24
295,600362,江西铜业,2016-08-01,0.14
296,600585,海螺水泥,2016-08-01,0.37
297,000060,中金岭南,2016-08-01,0.19
298,603993,洛阳钼业,2016-08-01,0.18
299,000900,现代投资,2016-08-01,0.01
