date,open,high,close,low,volume,amount
2016-07-01,1976.31,1985.901,1970.724,1963.807,20480060304,347329491078
2016-06-30,1973.944,1979.019,1974.24,1963.8,22314700296,387686448171
2016-06-29,1977.412,1982.258,1973.342,1963.9,24955990132,420868777627
2016-06-28,1940.275,1972.11,1970.376,1937.989,26830877231,453912606401
2016-06-27,1887.922,1946.696,1946.696,1887.817,23495879253,393174517638
2016-06-24,1912.131,1927.444,1900.599,1845.644,27094643996,431963996072
2016-06-23,1920.001,1926.266,1915.207,1900.861,21722797479,359997475485
2016-06-22,1884.458,1921.382,1921.382,1882.553,19712676536,329670270526
2016-06-21,1920.114,1932.32,1889.711,1881.07,23489849040,394594692212
2016-06-20,1900.908,1913.303,1909.121,1882.775,19957849585,336267713774
2016-06-17,1889.998,1914.328,1900.736,1885.617,22652028547,375084756114
2016-06-16,1888.439,1900.034,1885.438,1879.589,23466182615,391909023540
2016-06-15,1812.964,1897.906,1889.87,1810.663,22961752220,375866847682
2016-06-14,1817.767,1836.676,1832.629,1812.31,16916028644,274144761475
2016-06-13,1892.068,1905.108,1827.356,1827.356,23324978638,390597663538
2016-06-08,1921.394,1930.451,1918.622,1901.685,20813352269,368553774390
2016-06-07,1920.397,1926.351,1924.88,1909.055,19952084461,345431554294
2016-06-06,1920.653,1924.546,1920.124,1906.738,20836386623,355498821364
2016-06-03,1905.226,1927.455,1914.812,1899.832,25144467562,433350846150
2016-06-02,1883.997,1904.742,1904.742,1882.757,23172561122,375464429895
2016-06-01,1877.299,1898.513,1886.506,1876.622,26537846798,434118603241
2016-05-31,1801.025,1872.36,1872.36,1801.025,25583704157,395044413918
2016-05-30,1795.932,1813.938,1798.775,1780.594,13861555159,217888075096
2016-05-27,1804.486,1820.24,1807.038,1799.813,15971998267,254549346997
2016-05-26,1795.175,1808.926,1808.926,1763.453,16607029595,264346573799
2016-05-25,1816.07,1825.331,1800.229,1792.652,15180699112,253751378209
2016-05-24,1818.361,1818.361,1804.604,1792.333,15574307585,250343276921
2016-05-23,1799.052,1821.801,1820.992,1799.052,16899598874,279258451877
2016-05-20,1761.336,1794.954,1794.954,1755.233,14998232160,242144764148
2016-05-19,1764.79,1798.462,1775.885,1764.79,15651912721,251626978117
2016-05-18,1799.431,1799.431,1766.081,1746.756,17767144246,267266173576
2016-05-17,1816.195,1832.431,1814.68,1801.814,17757207796,290898943574
2016-05-16,1778.935,1815.027,1815.027,1771.263,14906378379,235093147482
2016-05-13,1784.187,1806.392,1784.329,1774.562,14245592986,223737332388
2016-05-12,1766.261,1790.358,1790.027,1738.704,15600950239,239419978638
2016-05-11,1812.25,1817.291,1791.055,1784.989,15409561547,247060422754
2016-05-10,1799.705,1812.778,1802.272,1792.462,13689120410,217953371690
2016-05-09,1852.646,1852.646,1804.345,1795.856,20194742322,310886910749
2016-05-06,1944.293,1950.109,1871.609,1871.609,25924972544,427588648960
2016-05-05,1925.324,1943.449,1942.544,1921.405,18087114752,311085137920
2016-05-04,1922.111,1943.302,1928.632,1919.67,20562688000,346375421952
2016-05-03,1873.684,1929.029,1929.029,1865.763,20363872256,341714042880
2016-04-29,1866.047,1883.544,1873.993,1863.614,14035894272,237945651200
2016-04-28,1876.749,1880.431,1874.308,1840.248,16980742144,276801159168
2016-04-27,1884.494,1896.076,1876.513,1873.288,16944296960,277593686016
2016-04-26,1857.678,1881.986,1881.986,1855.301,15135098880,247611359232
2016-04-25,1861.802,1865.605,1859.9,1835.875,15408529408,250353483776
2016-04-22,1836.133,1867.555,1867.555,1832.432,17067252736,273544232960
2016-04-21,1862.592,1885.167,1848.529,1846.579,21375285248,335555100672
2016-04-20,1963.612,1966.626,1871.512,1840.164,30452791296,489424060416
2016-04-19,1960.46,1966.536,1958.2,1944.572,18869719040,324917886976
2016-04-18,1965.74,1965.74,1952.409,1938.767,20878340096,348468248576
2016-04-15,1982.874,1985.541,1978.584,1967.521,21846876160,361317793792
2016-04-14,1972.646,1982.451,1982.451,1957.772,24066385920,389559287808
2016-04-13,1945.742,1984.958,1962.432,1945.742,31065098240,492216254464
2016-04-12,1950.309,1954.424,1935.603,1914.621,21714298880,375336501248
2016-04-11,1931.597,1961.692,1952.478,1931.597,24567623680,415014191104
2016-04-08,1914.384,1920.75,1914.322,1889.827,22215569408,377726074880
2016-04-07,1967.058,1970.867,1930.263,1930.263,26608648192,454602031104
2016-04-06,1943.922,1963.071,1961.707,1939.438,26105440256,446499520512
2016-04-05,1903.644,1953.464,1951.105,1899.899,26293583872,436963377152
2016-04-01,1903.338,1909.418,1901.515,1872.511,21570842624,365472546816
2016-03-31,1916.613,1931.426,1912.209,1906.677,25073924096,444707045376
2016-03-30,1856.287,1906.765,1906.765,1856.287,23062550528,394017865728
2016-03-29,1871.168,1874.603,1840.509,1824.885,20705007616,335925542912
2016-03-28,1896.358,1914.815,1874.655,1868.744,23985137664,393732947968
2016-03-25,1870.324,1890.651,1885.123,1861.1,20970113024,351898140672
2016-03-24,1885.123,1911.581,1876.106,1869.329,27035588608,462982840320
2016-03-23,1874.555,1902.532,1902.532,1870.078,24786673664,413919379456
2016-03-22,1870.562,1896.206,1880.784,1860.426,27915646976,446072815616
2016-03-21,1860.611,1886.372,1886.372,1855.273,33811466240,522811342848
2016-03-18,1780.452,1843.268,1837.21,1780.041,31803848704,488942600192
2016-03-17,1717.909,1777.297,1772.43,1717.909,23292391424,358220038144
2016-03-16,1741.874,1748.007,1711.465,1700.077,15856956416,233192210432
2016-03-15,1740.03,1748.869,1729.079,1722.531,17154845696,257719877632
2016-03-14,1704.51,1762.681,1745.286,1704.51,20657698816,301200769024
2016-03-11,1670.454,1697.725,1685.239,1663.306,12701335552,175661776896
2016-03-10,1714.375,1728.643,1688.972,1686.987,15102490624,213230190592
2016-03-09,1712.187,1740.963,1713.444,1700.468,18032084992,249502662656
2016-03-08,1738.723,1750.535,1750.535,1673.493,23099406336,312203935744
2016-03-07,1724.179,1759.781,1741.645,1724.099,19868598272,270057603072
2016-03-04,1749.33,1762.232,1706.966,1687.374,26049656832,345664651264
2016-03-03,1760.316,1793.426,1758.132,1756.767,28866693120,383542951936
2016-03-02,1677.435,1763.394,1760.583,1676.675,26977349632,354164998144
2016-03-01,1643.546,1693.783,1681.474,1620.577,21010900992,280386371584
2016-02-29,1726.779,1726.779,1643.275,1627.183,20726773760,265271508992
2016-02-26,1750.507,1759.802,1736.538,1701.498,20850040832,296329347072
2016-02-25,1872.246,1872.246,1738.668,1731.575,27040667648,394765762560
2016-02-24,1869.428,1887.114,1876.474,1836.906,22230816768,352716226560
2016-02-23,1890.32,1894.535,1877.185,1852.446,22797381632,361317138432
2016-02-22,1874.487,1888.181,1888.181,1865.084,23595081728,363399905280
2016-02-19,1835.564,1861.723,1850.513,1831.753,19041093632,302956085248
2016-02-18,1859.523,1867.978,1841.416,1838.098,23723577344,359833862144
2016-02-17,1821.477,1850.358,1847.648,1810.133,23076491264,343715512320
2016-02-16,1759.399,1826.148,1821.708,1759.399,20040124416,301370081280
2016-02-15,1693.805,1759.905,1750.016,1693.336,13736153088,199665156096
2016-02-05,1773.71,1780.133,1750.703,1750.46,14732867584,217884442624
2016-02-04,1742.395,1779.787,1771.067,1742.395,17970829312,266554425344
2016-02-03,1709.478,1744.58,1737.2,1698.09,15872987136,229311594496
2016-02-02,1672.995,1734.519,1729.089,1672.995,16759823360,244316389376
2016-02-01,1684.716,1699.007,1671.908,1647.373,15365348352,217579077632
2016-01-29,1624.849,1703.663,1689.43,1620.512,18089527296,248740757504
2016-01-28,1676.879,1696.712,1629.065,1622.466,16885275648,232012218368
2016-01-27,1720.442,1725.254,1700.153,1618.117,22135271424,302842675200
2016-01-26,1824.4,1826.616,1714.421,1710.437,21398837248,310466740224
2016-01-25,1843.098,1863.377,1845.783,1827.373,16514122752,258879307776
2016-01-22,1820.846,1837.709,1827.337,1772.008,17811779584,276383170560
2016-01-21,1845.578,1895.061,1800.992,1800.992,21004996608,332579241984
2016-01-20,1883.036,1909.46,1876.307,1862.694,22966163456,361463087104
2016-01-19,1825.473,1898.525,1895.749,1820.581,23143458816,360603680768
2016-01-18,1759.493,1851.506,1830.329,1758.19,19337160704,298935812096
2016-01-15,1845.165,1863.357,1796.131,1785.505,22116016128,331743887360
2016-01-14,1732.534,1862.078,1859.37,1729.991,22851268608,334237794304
2016-01-13,1864.192,1880.621,1791.182,1791.098,20894052352,310559473664
2016-01-12,1846.436,1879.198,1855.391,1811.789,21763733504,326613598208
2016-01-11,1934.241,1958.915,1848.102,1847.881,26129924096,377830440960
2016-01-08,2002.212,2021.697,1978.721,1878.491,28514936832,437422194688
2016-01-07,2094.658,2094.658,1958.089,1955.875,7166195200,107974926336
2016-01-06,2090.365,2133.956,2133.956,2071.653,25349724160,414256857088
2016-01-05,2012.61,2121.392,2079.772,2005.393,29429084160,483124051968
2016-01-04,2304.477,2304.491,2119.156,2119.098,20485527552,355284254720
2015-12-31,2352.429,2356.899,2308.907,2308.839,22226173952,432566042624
2015-12-30,2333.625,2352.866,2351.353,2327.126,23173189632,455547781120
2015-12-29,2305.483,2330.355,2330.355,2286.994,21500993536,408793972736
2015-12-28,2367.974,2377.2,2308.377,2308.377,27978235904,528278126592
2015-12-25,2350.943,2366.062,2359.728,2343.765,21433126912,409651445760
2015-12-24,2344.78,2352.812,2346.371,2307.471,23255007232,434137694208
2015-12-23,2381.458,2386.309,2351.064,2345.371,31225325568,576756580352
2015-12-22,2363.277,2379.627,2379.627,2348.96,28839655424,513492549632
2015-12-21,2331.312,2361.515,2357.989,2329.679,29849067520,544467156992
2015-12-18,2341.752,2350.701,2335.603,2322.032,30575269888,593472716800
2015-12-17,2294.204,2342.182,2342.182,2294.204,32853768192,614923042816
2015-12-16,2272.437,2295.098,2280.117,2271.337,23545131008,462743404544
2015-12-15,2242.851,2273.137,2264.722,2242.851,22829381632,438285336576
2015-12-14,2174.715,2239.678,2239.678,2171.258,21494220800,393037807616
2015-12-11,2203.17,2215.396,2195.856,2185.781,20466589696,387813408768
2015-12-10,2212.311,2236.51,2211.862,2206.385,22863894528,449240268800
2015-12-09,2209.171,2230.78,2214.21,2197.173,23296440320,450382299136
2015-12-08,2250.167,2252.254,2221.266,2213.482,26104307712,490750148608
2015-12-07,2237.119,2263.434,2261.407,2222.263,24767039488,470486319104
2015-12-04,2236.771,2260.424,2233.26,2217.212,26807033856,503159160832
2015-12-03,2191.593,2243.943,2243.943,2191.593,24953294848,456594915328
2015-12-02,2191.446,2197.935,2189.314,2121.63,26399991808,469257388032
2015-12-01,2200.858,2226.691,2198.283,2172.206,27022223360,512563544064
2015-11-30,2187.334,2212.954,2203.606,2086.426,32521529344,596628275200
2015-11-27,2311.217,2324.064,2184.113,2168.709,37147516928,678451937280
2015-11-26,2354.424,2358.343,2325.688,2320.455,34966163456,680145059840
2015-11-25,2300.629,2346.366,2343.619,2298.645,32541589504,639101370368
2015-11-24,2266.144,2300.088,2300.088,2247.081,28393068544,530807914496
2015-11-23,2287.469,2310.755,2268.618,2260.052,36238548992,658859819008
2015-11-20,2266.531,2296.151,2285.826,2256.546,36472672256,665595281408
2015-11-19,2197.275,2257.21,2257.21,2196.075,29446742016,531375063040
2015-11-18,2231.91,2246.364,2189.883,2185.185,30614951936,550775422976
2015-11-17,2274.298,2289.137,2231.182,2225.24,40349696000,750831206400
2015-11-16,2161.11,2250.977,2250.977,2159.3,29240823808,539273199616
2015-11-13,2232.524,2245.26,2205.565,2182.067,36299345920,669337714688
